workload	sample	makespan	synchronization	distribution	filesystem
workload3	2	139	async	distributed	BeeFS
workload3	3	138	async	distributed	BeeFS
workload3	4	140	async	distributed	BeeFS
workload3	5	138	async	distributed	BeeFS
workload3	6	138	async	distributed	BeeFS
workload3	7	138	async	distributed	BeeFS
workload3	8	138	async	distributed	BeeFS
workload3	9	139	async	distributed	BeeFS
workload3	10	138	async	distributed	BeeFS
workload4	1	75	async	distributed	BeeFS
workload4	2	74	async	distributed	BeeFS
workload4	3	74	async	distributed	BeeFS
workload4	4	76	async	distributed	BeeFS
workload4	5	75	async	distributed	BeeFS
workload4	6	77	async	distributed	BeeFS
workload4	7	76	async	distributed	BeeFS
workload4	8	75	async	distributed	BeeFS
workload4	9	76	async	distributed	BeeFS
workload4	10	75	async	distributed	BeeFS
