sample	makespan	concurrency_level
1	8	10
2	8	10
3	8	10
4	8	10
5	8	10
6	7	10
7	8	10
8	8	10
9	7	10
10	7	10
1	8	9
2	7	9
3	8	9
4	9	9
5	9	9
6	9	9
7	9	9
8	8	9
9	8	9
1	6	8
2	7	8
3	5	8
4	6	8
5	6	8
6	6	8
7	7	8
8	6	8
1	6	7
2	7	7
3	7	7
4	7	7
5	6	7
6	7	7
7	6	7
1	5	6
2	7	6
3	7	6
4	5	6
5	5	6
6	5	6
1	2	4
2	2	4
3	2	4
4	3	4
1	2	1
