10, 9, 9, 9, 9, 8, 8, 9, 10, 8
236, 230, 229, 228, 231, 229, 234, 230, 248, 229
610, 616, 617, 602, 610, 610, 616, 618, 619, 612
321, 312, 340, 326, 308, 305, 328, 285, 355, 342
10, 9, 9, 9, 9, 8, 8, 9, 10, 8
236, 230, 229, 228, 231, 229, 234, 230, 248, 229
610, 616, 617, 602, 610, 610, 616, 618, 619, 612
321, 312, 340, 326, 308, 305, 328, 285, 355, 342
